county-name,internet-sub,internet-access-no-sub,no-internet
Rutland County,19202.0,1202.0,4756.0
Orleans County,8326.0,461.0,2711.0
Grand Isle County,2412.0,107.0,433.0
Orange County,9308.0,395.0,2572.0
Chittenden County,55565.0,2389.0,6952.0
Lamoille County,8342.0,584.0,1475.0
Windsor County,19417.0,1067.0,3637.0
Franklin County,14699.0,583.0,3367.0
Caledonia County,8675.0,655.0,2764.0
Windham County,14600.0,1311.0,3148.0
Bennington County,11991.0,634.0,2655.0
Addison County,11662.0,566.0,2473.0
Essex County,1888.0,64.0,768.0
Washington County,19845.0,1097.0,3777.0
